title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
Counter-Strike 2,730,Game,Valve,Valve,Windows Linux,Source2 Engine,31892056,24 October 2025 – 22:24:30 UTC ( ),21 August 2012 – 17:00:00 UTC ( ),86.36,9113867,1333017,1,1,1,1,1,1,1,1,1,1,2025-10-25 17:18:37.331135,https://steamdb.info/app/730/charts/
Dota 2,570,Game,Valve,Valve,Windows macOS Linux,Source2 Engine,31846973,22 October 2025 – 21:55:54 UTC ( ),9 July 2013 – 17:00:00 UTC ( ),81.31,2580265,753689,1,1,1,1,1,1,0,0,0,0,2025-10-25T17:20:37.052944,https://steamdb.info/app/570/charts/
PUBG: BATTLEGROUNDS,578080,Game,PUBG Corporation,"KRAFTON, Inc.",Windows,"BattlEye AntiCheat , Unreal Engine , EpicOnlineServices SDK",31827855,22 October 2025 – 02:02:07 UTC ( ),21 December 2017 – 08:05:00 UTC ( ),59.73,2621779,370157,1,0,0,0,0,0,0,1,1,1,2025-10-25T17:20:47.425455,https://steamdb.info/app/578080/charts/
Battlefield™ 6,2807960,Game,Battlefield Studios,Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Frostbite Engine",31878189,24 October 2025 – 09:04:18 UTC ( ),10 October 2025 – 14:58:00 UTC ( ),71.36,135620,335931,1,0,0,1,0,1,1,0,0,0,2025-10-25T17:20:56.481999,https://steamdb.info/app/2807960/charts/
Escape from Duckov,3167020,Game,Team Soda,bilibili,Windows macOS,Unity Engine,31899980,25 October 2025 – 15:20:14 UTC ( ),16 October 2025 – 07:00:07 UTC ( ),96.51,20751,165734,0,1,0,0,1,1,0,0,0,0,2025-10-25T17:21:06.484682,https://steamdb.info/app/3167020/charts/
Rust,252490,Game,Facepunch Studios,Facepunch Studios,Windows macOS,"EasyAntiCheat AntiCheat , Unity Engine , EpicOnlineServices SDK",31867936,23 October 2025 – 20:04:50 UTC ( ),8 February 2018 – 17:52:00 UTC ( ),87.05,1270721,158197,1,1,1,1,1,1,0,0,0,0,2025-10-25T17:21:17.727807,https://steamdb.info/app/252490/charts/
Delta Force,2507950,Game,Team Jade,TiMi Studio Group,Windows,"AntiCheatExpert AntiCheat , Unreal Engine , EpicOnlineServices SDK",31895231,25 October 2025 – 04:19:24 UTC ( ),4 December 2024 – 23:34:08 UTC ( ),58.69,151945,109793,1,1,0,1,0,0,0,0,0,0,2025-10-25T17:21:27.637545,https://steamdb.info/app/2507950/charts/
Apex Legends,1172470,Game,Respawn,Electronic Arts,Windows,"EasyAntiCheat AntiCheat , EpicOnlineServices SDK",31893394,25 October 2025 – 00:32:41 UTC ( ),5 November 2020 – 04:00:00 UTC ( ),67.22,1013103,103572,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:21:37.152169,https://steamdb.info/app/1172470/charts/
Wallpaper Engine,431960,Application,Wallpaper Engine Team,Wallpaper Engine Team,Windows,Unity Engine,31482379,4 October 2025 – 16:53:33 UTC ( ),16 November 2018 – 18:03:05 UTC ( ),98.03,932093,101704,0,1,0,0,1,0,0,0,0,0,2025-10-25T17:21:45.612306,https://steamdb.info/app/431960/charts/
Source SDK Base 2007,218,Tool,,,,Source Engine,26268883,19 November 2024 – 21:15:01 UTC ( ),,,,109907,0,0,0,0,0,0,0,0,0,0,2025-10-25T17:21:54.802710,https://steamdb.info/app/218/charts/
